,ds,yhat,yhat_lower,yhat_upper
237,1993-08-26,63652782.49291359,62402452.48148568,64904933.27400701
238,1993-08-27,63669188.05236747,62530514.22727339,64925031.3160665
239,1993-08-28,63681712.51885045,62388504.32102243,64981856.568495356
240,1993-08-29,63694315.61657465,62460196.769487455,64964173.32112929
241,1993-08-30,63707014.951873705,62428931.75689051,64965828.59837244
242,1993-08-31,63719808.11851697,62480649.89065,64985978.73938476
243,1993-09-01,63732692.088560246,62564672.73472436,64967137.291066356
244,1993-09-02,63745658.931434594,62494632.42683967,65049342.09268104
245,1993-09-03,63762711.172788285,62443757.25592872,64864973.791820265
246,1993-09-04,63775856.183933936,62471246.28773806,64865257.15264062
247,1993-09-05,63789032.511760384,62555275.90294259,65055826.7864167
248,1993-09-06,63802237.98313693,62626079.01970468,65072626.909739874
249,1993-09-07,63815452.45465714,62487570.97544887,65010520.88611615
250,1993-09-08,63828657.78555755,62593357.070536494,65126430.101803936
251,1993-09-09,63841834.057688996,62596700.0077021,65069109.32157505
252,1993-09-10,63858975.33772272,62556611.76773537,65133396.38750115
253,1993-09-11,63872084.35912781,62670468.46183578,65115076.47219957
254,1993-09-12,63885099.02391401,62703813.54297647,65199177.99153726
255,1993-09-13,63898020.55207855,62633781.3990474,65148533.026866466
256,1993-09-14,63910836.14750176,62727556.29755172,65204875.52231714
257,1993-09-15,63923538.7600962,62625503.40260126,65142505.18426817
258,1993-09-16,63936122.974086165,62652299.65878839,65245256.64085903
259,1993-09-17,63952600.32746099,62774383.909806035,65270598.94372687
260,1993-09-18,63964993.45357101,62655806.16946155,65183123.63902837
261,1993-09-19,63977261.9614602,62619359.22675493,65277328.67372456
262,1993-09-20,63989429.90213675,62752543.57058387,65257771.82039904
263,1993-09-21,64001507.71085939,62818378.19716336,65307415.91759235
264,1993-09-22,64013511.22798997,62650542.66882419,65184524.93835456
265,1993-09-23,64025456.85173719,62818142.32512973,65348311.551415995
266,1993-09-24,64041376.15125465,62887516.44251887,65321296.409478106
267,1993-09-25,64053309.35371393,62884675.26676664,65320557.680115715
268,1993-09-26,64065230.64311377,62693085.58348204,65332491.683230415
269,1993-09-27,64077175.13703335,62817131.55329623,65401056.262231834
270,1993-09-28,64089160.447641246,62766484.913928114,65331380.8401341
271,1993-09-29,64101205.442440115,62865664.132653445,65330139.92826815
272,1993-09-30,64113325.26727028,62891998.77549836,65375756.06778259
273,1993-10-01,64129545.96518314,62836904.99296288,65442978.85341976
274,1993-10-02,64141898.10571158,62928898.545326464,65394910.642198615
275,1993-10-03,64154342.35890404,62938629.62127306,65520861.5127972
276,1993-10-04,64166896.872706,62886737.55259266,65440164.53886365
277,1993-10-05,64179559.34835462,62917752.51308216,65388279.32103461
278,1993-10-06,64192326.41393054,63040939.886016384,65457831.69774559
279,1993-10-07,64205189.34001626,62911265.25694274,65465868.82629257
280,1993-10-08,64222149.40981485,62944123.77837083,65514762.75916069
281,1993-10-09,64235212.33496096,62893986.99208625,65531357.976906165
282,1993-10-10,64248314.62676873,62989424.1067164,65566402.86319848
283,1993-10-11,64261451.75631387,63016217.85280543,65527223.29300196
284,1993-10-12,64274600.97304602,63109679.35635336,65557375.25375122
285,1993-10-13,64287741.35811105,62981910.42808307,65496331.83077879
286,1993-10-14,64300850.13412953,63103327.77821947,65554700.07275138
287,1993-10-15,64317918.52405906,63050978.5723687,65523196.76400953
288,1993-10-16,64330946.53376226,63203667.333857395,65599078.77056543
289,1993-10-17,64343869.55508377,63073029.656565316,65560112.11087902
290,1993-10-18,64356686.614000835,63108709.717429705,65576356.050580926
291,1993-10-19,64369383.12914025,63045218.775486544,65617808.559540704
292,1993-10-20,64381950.75704928,63051850.633651845,65586526.30292833
293,1993-10-21,64394383.350829944,63128824.417638525,65600255.212239735
